YEAR,CITY,PROVINCE,LIVING_WAGE
2014,Calgary,Alberta,13.0
2014,Grand Prairie,Alberta,15.5
2014,Medicine Hat,Alberta,13.0
2015,Calgary,Alberta,17.29
2015,Grand Prairie,Alberta,15.55
2015,Medicine Hat,Alberta,13.0
2015,Red Deer,Alberta,13.11
2016,Calgary,Alberta,18.15
2016,Edmonton,Alberta,17.36
2016,Grand Prairie,Alberta,17.35
2016,Medicine Hat,Alberta,13.0
2016,Red Deer,Alberta,13.11
2017,Calgary,Alberta,18.15
2017,Edmonton,Alberta,16.69
2017,Grand Prairie,Alberta,17.35
2017,Medicine Hat,Alberta,13.0
2017,Red Deer,Alberta,13.81
2018,Calgary,Alberta,18.15
2018,Edmonton,Alberta,16.31
2018,Grand Prairie,Alberta,17.31
2018,Medicine Hat,Alberta,13.65
2018,Red Deer,Alberta,13.81
2019,Calgary,Alberta,18.15
2019,Edmonton,Alberta,16.31
2019,Grand Prairie,Alberta,17.35
2019,Medicine Hat,Alberta,13.65
2019,Red Deer,Alberta,13.81
2020,Calgary,Alberta,18.15
2020,Edmonton,Alberta,16.31
2020,Grand Prairie,Alberta,17.35
2020,Medicine Hat,Alberta,13.65
2020,Red Deer,Alberta,13.81
2021,Calgary,Alberta,18.6
2021,Canmore,Alberta,37.4
2021,Chestermere,Alberta,18.6
2021,Cochrane,Alberta,22.6
2021,Drumheller,Alberta,19.7
2021,Edmonton,Alberta,18.1
2021,Fort McMurray,Alberta,27.35
2021,Lethbridge,Alberta,19.0
2021,Red Deer,Alberta,17.15
2021,Rocky Mountain House,Alberta,18.05
2021,Stony Plain,Alberta,17.2
2021,Strathcona County,Alberta,16.8
2022,Calgary,Alberta,22.4
2022,Canmore,Alberta,32.75
2022,Cochrane,Alberta,22.35
2022,Drumheller,Alberta,21.2
2022,Edmonton,Alberta,21.4
2022,Fort McMurray,Alberta,22.5
2022,Lethbridge,Alberta,20.3
2022,Red Deer,Alberta,19.65
2022,Rocky Mountain House,Alberta,21.85
2022,Stony Plain,Alberta,20.4
2022,Spruce Grove,Alberta,20.7
2022,St. Albert,Alberta,22.4
2023,Brooks,Alberta,19.05
2023,Grand Prairie,Alberta,18.9
2023,Calgary,Alberta,23.7
2023,Canmore,Alberta,38.8
2023,Drayton Valley,Alberta,19.55
2023,High River,Alberta,21.7
2023,Jasper,Alberta,24.9
2023,Lac La Biche County,Alberta,21.6
2023,Edmonton,Alberta,22.25
2023,Fort McMurray,Alberta,24.5
2023,Medicine Hat,Alberta,17.35
2023,Lethbridge,Alberta,20.6
2023,Red Deer,Alberta,18.75
2023,Stony Plain,Alberta,21.1
2023,Spruce Grove,Alberta,21.0
2023,St. Albert,Alberta,23.8
